Step (mm),Length (mm),Offset (mm),Width (mm),Start Angle (deg),End Angle (deg),Start Radius (mm),End Radius (mm),Milling (mm)
2,4,3.8,1.5,10,55,0,0,0
2,4,3.802,1.5,10,55.2,0,0,0
2,4,3.804,1.5,10,55.4,0,0,0
2,4,3.806,1.5,10,55.6,0,0,0
2,4,3.808,1.5,10,55.8,0,0,0
2,4,3.81,1.5,10,56,0,0,0
2,4,3.812,1.5,10,56.2,0,0,0
2,4,3.814,1.5,10,56.4,0,0,0
2,4,3.816,1.5,10,56.6,0,0,0
2,4,3.818,1.5,10,56.8,0,0,0
2,4,3.82,1.5,10,57,0,0,0
2,4,3.822,1.5,10,57.2,0,0,0
2,4,3.824,1.5,10,57.4,0,0,0
2,4,3.826,1.5,10,57.6,0,0,0
2,4,3.828,1.5,10,57.8,0,0,0
2,4,3.83,1.5,10,58,0,0,0
2,4,3.832,1.5,10,58.2,0,0,0
2,4,3.834,1.5,10,58.4,0,0,0
2,4,3.836,1.5,10,58.6,0,0,0
2,4,3.838,1.5,10,58.8,0,0,0
2,4,3.84,1.5,10,59,0,0,0
2,4,3.842,1.5,10,59.2,0,0,0
2,4,3.844,1.5,10,59.4,0,0,0
2,4,3.846,1.5,10,59.6,0,0,0
2,4,3.848,1.5,10,59.8,0,0,0
2,4,3.85,1.5,10,60,0,0,0
2,4,3.852,1.5,10,60.2,0,0,0
2,4,3.854,1.5,10,60.4,0,0,0
2,4,3.856,1.5,10,60.6,0,0,0
2,4,3.858,1.5,10,60.8,0,0,0
2,4,3.86,1.5,10,61,0,0,0
2,4,3.862,1.5,10,61.2,0,0,0
2,4,3.864,1.5,10,61.4,0,0,0
2,4,3.866,1.5,10,61.6,0,0,0
2,4,3.868,1.5,10,61.8,0,0,0
2,4,3.87,1.5,10,62,0,0,0
2,4,3.872,1.5,10,62.2,0,0,0
2,4,3.874,1.5,10,62.4,0,0,0
2,4,3.876,1.5,10,62.6,0,0,0
2,4,3.878,1.5,10,62.8,0,0,0
2,4,3.88,1.5,10,63,0,0,0
2,4,3.882,1.5,10,63.2,0,0,0
2,4,3.884,1.5,10,63.4,0,0,0
2,4,3.886,1.5,10,63.6,0,0,0
2,4,3.888,1.5,10,63.8,0,0,0
2,4,3.89,1.5,10,64,0,0,0
2,4,3.892,1.5,10,64.2,0,0,0
2,4,3.894,1.5,10,64.4,0,0,0
2,4,3.896,1.5,10,64.6,0,0,0
2,4,3.898,1.52,10,64.8,0,0,0
2,4,3.9,1.54,10,65,0,0,0
2,4,3.902,1.56,10,65,0,0,0
2,4,3.904,1.58,10,65,0,0,0
2,4,3.906,1.6,10,65,0,0,0
2,4,3.908,1.62,10,65,0,0,0
2,4,3.91,1.64,10,65,0,0,0
2,4,3.912,1.66,10,65,0,0,0
2,4,3.914,1.68,10,65,0,0,0
2,4,3.916,1.7,10,65,0,0,0
2,4,3.918,1.72,10,65,0,0,0
2,4,3.92,1.74,10,65,0,0,0
2,4,3.922,1.76,10,65,0,0,0
2,4,3.924,1.78,10,65,0,0,0
2,4,3.926,1.8,10,65,0,0,0
2,4,3.928,1.82,10,65,0,0,0
2,4,3.93,1.84,10,65,0,0,0
2,4,3.932,1.86,10,65,0,0,0
2,4,3.934,1.88,10,65,0,0,0
2,4,3.936,1.9,10,65,0,0,0
2,4,3.938,1.92,10,65,0,0,0
2,4,3.94,1.94,10,65,0,0,0
2,4,3.942,1.96,10,65,0,0,0
2,4,3.944,1.98,10,65,0,0,0
2,4,3.946,2,10,65,0,0,0
2,4,3.948,2.02,10,65,0,0,0
2,4,3.95,2.04,10,65,0,0,0
2,4,3.952,2.06,10,65,0,0,0
2,4,3.954,2.08,10,65,0,0,0
2,4,3.956,2.1,10,65,0,0,0
2,4,3.958,2.12,10,65,0,0,0
2,4,3.96,2.14,10,65,0,0,0
2,4,3.962,2.16,10,65,0,0,0
2,4,3.964,2.18,10,65,0,0,0
2,4,3.966,2.2,10,65,0,0,0
2,4,3.968,2.22,10,65,0,0,0
2,4,3.97,2.24,10,65,0,0,0
2,4,3.972,2.26,10,65,0,0,0
2,4,3.974,2.28,10,65,0,0,0
2,4,3.976,2.3,10,65,0,0,0
2,4,3.978,2.32,10,65,0,0,0
2,4,3.98,2.34,10,65,0,0,0
2,4,3.982,2.36,10,65,0,0,0
2,4,3.984,2.38,10,65,0,0,0
2,4,3.986,2.4,10,65,0,0,0
2,4,3.988,2.42,10,65,0,0,0
2,4,3.99,2.44,10,65,0,0,0
2,4,3.992,2.46,10,65,0,0,0
2,4,3.994,2.48,10,65,0,0,0
2,4,3.996,2.5,10,65,0,0,0
2,4,3.998,2.52,10,65.1,0,0,0
2,4,4,2.54,10,65.2,0,0,0
2,4,4.002,2.56,10,65.3,0,0,0
2,4,4.004,2.58,10,65.4,0,0,0
2,4,4.006,2.6,10,65.5,0,0,0
2,4,4.008,2.62,10,65.6,0,0,0
2,4,4.01,2.64,10,65.7,0,0,0
2,4,4.012,2.66,10,65.8,0,0,0
2,4,4.014,2.68,10,65.9,0,0,0
2,4,4.016,2.7,10,66,0,0,0
2,4,4.018,2.72,10,66.1,0,0,0
2,4,4.02,2.74,10,66.2,0,0,0
2,4,4.022,2.76,10,66.3,0,0,0
2,4,4.024,2.78,10,66.4,0,0,0
2,4,4.026,2.8,10,66.5,0,0,0
2,4,4.028,2.82,10,66.6,0,0,0
2,4,4.03,2.84,10,66.7,0,0,0
2,4,4.032,2.86,10,66.8,0,0,0
2,4,4.034,2.88,10,66.9,0,0,0
2,4,4.036,2.9,10,67,0,0,0
2,4,4.038,2.92,10,67.1,0,0,0
2,4,4.04,2.94,10,67.2,0,0,0
2,4,4.042,2.96,10,67.3,0,0,0
2,4,4.044,2.98,10,67.4,0,0,0
2,4,4.046,3,10,67.5,0,0,0
2,4,4.048,3,10,67.6,0,0,0
2,4,4.05,3,10,67.7,0,0,0
2,4,4.052,3,10,67.8,0,0,0
2,4,4.054,3,10,67.9,0,0,0
2,4,4.056,3,10,68,0,0,0
2,4,4.058,3,10,68.1,0,0,0
2,4,4.06,3,10,68.2,0,0,0
2,4,4.062,3,10,68.3,0,0,0
2,4,4.064,3,10,68.4,0,0,0
2,4,4.066,3,10,68.5,0,0,0
2,4,4.068,3,10,68.6,0,0,0
2,4,4.07,3,10,68.7,0,0,0
2,4,4.072,3,10,68.8,0,0,0
2,4,4.074,3,10,68.9,0,0,0
2,4,4.076,3,10,69,0,0,0
2,4,4.078,3,10,69.1,0,0,0
2,4,4.08,3,10,69.2,0,0,0
2,4,4.082,3,10,69.3,0,0,0
2,4,4.084,3,10,69.4,0,0,0
2,4,4.086,3,10,69.5,0,0,0
2,4,4.088,3,10,69.6,0,0,0
2,4,4.09,3,10,69.7,0,0,0
2,4,4.092,3,10,69.8,0,0,0
2,4,4.094,3,10,69.9,0,0,0
2,4,4.096,3,10,70,0,0,0
